<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Meyar Sanat-a,20200115,21577.17,21577,21577,21577.17,2326
Meyar Sanat-a,20200119,22008.71,22009,22009,22008.71,50100
Meyar Sanat-a,20200121,22448.31,22448,22448,22448.31,3604
Meyar Sanat-a,20200122,22896.95,22897,22897,22896.95,3600
Meyar Sanat-a,20200125,23812.34,23812,23812,23812.34,5009
Meyar Sanat-a,20200126,24288.15,24288,24288,24288.15,10011
Meyar Sanat-a,20200127,24773.01,24773,24773,24773.01,4600
Meyar Sanat-a,20200128,25267.92,25268,25268,25267.92,3265
Meyar Sanat-a,20200202,25772.90,25773,25773,25772.90,3115
Meyar Sanat-a,20200203,26287.94,26288,26288,26287.94,3900
Meyar Sanat-a,20200204,26813.03,26813,26813,26813.03,4702
Meyar Sanat-a,20200205,27885.35,27885,27885,27885.35,8156
Meyar Sanat-a,20200208,28442.63,28443,28443,28442.63,161236
Meyar Sanat-a,20200215,29010.98,29011,29011,29010.98,50191
Meyar Sanat-a,20200217,29590.40,29590,29590,29590.40,53063
Meyar Sanat-a,20200218,30773.37,30773,30773,30773.37,536877
Meyar Sanat-a,20200223,31387.99,31388,31388,31387.99,26700
Meyar Sanat-a,20200224,32643.39,32643,32643,32643.39,405814
Meyar Sanat-a,20200225,33296.24,33296,33296,33296.24,47101
Meyar Sanat-a,20200226,33962.17,33962,33962,33962.17,31377
Meyar Sanat-a,20200229,33284.17,34641,33284,34111.04,383013
Meyar Sanat-a,20200301,35475.08,35475,35475,35475.08,41491
Meyar Sanat-a,20200302,36184.26,36184,36184,35785.91,129923
Meyar Sanat-a,20200303,36501.13,36501,35071,36332.13,289133
Meyar Sanat-a,20200304,37058.41,37058,35606,36220.48,93524
Meyar Sanat-a,20200307,35496.21,35496,35496,36196.33,9270
Meyar Sanat-a,20200309,35473.07,35473,35473,36040.41,59983
Meyar Sanat-a,20200310,34598.92,34599,34599,35771.83,51789
Meyar Sanat-a,20200311,35056.62,35057,35057,35747.69,9319
Meyar Sanat-a,20200314,35033.48,35033,35033,35637.04,43684
Meyar Sanat-a,20200315,34924.84,34925,34925,35569.64,26506
Meyar Sanat-a,20200316,34147.26,34147,34147,35522.36,9411
Meyar Sanat-a,20200317,34812.18,34812,34812,35057.62,184316
Meyar Sanat-a,20200318,34356.49,35759,34356,34483.24,489433
Meyar Sanat-a,20200324,35118.98,35167,33794,34257.91,162184
Meyar Sanat-a,20200325,34940.93,34941,33573,34110.04,209482
Meyar Sanat-a,20200328,34726.67,34727,33428,33482.34,329493
Meyar Sanat-a,20200329,32815.41,34066,32813,33130.26,179314
Meyar Sanat-a,20200330,32468.36,32470,32468,32967.30,72594
Meyar Sanat-a,20200404,32308.42,33196,32308,32419.07,260114
Meyar Sanat-a,20200405,31122.43,33716,31122,32415.05,361730
Meyar Sanat-a,20200406,33062.86,33063,31767,32547.83,79983
Meyar Sanat-a,20200407,33195.65,33199,31897,32405.99,153765
Meyar Sanat-a,20200408,31758.18,32565,31758,32312.44,44083
Meyar Sanat-a,20200411,31666.64,32312,31667,32238.00,36394
Meyar Sanat-a,20200412,30949.41,30949,30949,31912.08,78825
Meyar Sanat-a,20200413,31274.32,31274,31274,31899.01,6254
Meyar Sanat-a,20200414,31261.25,31261,31261,31896.99,1211
Meyar Sanat-a,20200415,31259.23,31259,31259,31889.95,3374
Meyar Sanat-a,20200418,30614.43,31475,30614,30809.58,1577905
Meyar Sanat-a,20200419,31283.38,31283,30194,30584.26,162897
Meyar Sanat-a,20200420,29972.65,29973,29973,30460.53,63602
Meyar Sanat-a,20200421,29851.94,29852,29852,30380.05,41637
