<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Meyar Sanat-a,20171216,1832.96,1833,1745,1745.21,21001
Meyar Sanat-a,20171218,1734.48,1734,1463,1591.16,259000
Meyar Sanat-a,20171220,1657.46,1657,1511,1632.11,29100
Meyar Sanat-a,20171223,1482.94,1483,1483,1482.94,42203
Meyar Sanat-a,20171230,1477.09,1477,1472,1477.09,170371
Meyar Sanat-a,20180101,1477.09,1477,1461,1474.17,54843
Meyar Sanat-a,20180106,1428.42,1509,1428,1431.44,50076
Meyar Sanat-a,20180108,1429.42,1429,1429,1429.42,622
Meyar Sanat-a,20180113,1508.89,1509,1509,1508.89,70966
Meyar Sanat-a,20180115,1509.90,1510,1510,1509.90,41197
Meyar Sanat-a,20180117,1510.90,1511,1511,1510.90,8000
Meyar Sanat-a,20180120,1512.92,1513,1513,1512.92,26152
Meyar Sanat-a,20180122,1512.92,1513,1411,1454.57,8724
Meyar Sanat-a,20180124,1454.57,1455,1408,1444.51,57138
Meyar Sanat-a,20180129,1297.65,1407,1298,1301.67,44013
Meyar Sanat-a,20180131,1448.54,1449,1301,1326.82,23100
Meyar Sanat-a,20180203,1355.99,1356,1356,1355.99,264823
Meyar Sanat-a,20180207,1359.01,1359,1359,1359.01,194383
Meyar Sanat-a,20180212,1359.01,1359,1359,1359.01,24516
Meyar Sanat-a,20180214,1408.30,1453,1408,1412.32,310755
Meyar Sanat-a,20180217,1508.89,1598,1509,1510.90,613233
Meyar Sanat-a,20180219,1790.55,1791,1791,1790.55,540617
Meyar Sanat-a,20180221,1710.08,1710,1621,1705.05,43327
Meyar Sanat-a,20180224,1840.85,1841,1564,1780.49,32218
Meyar Sanat-a,20180228,1540.08,1540,1540,1540.08,128555
Meyar Sanat-a,20180303,1541.08,1541,1541,1541.08,51493
Meyar Sanat-a,20180305,1541.08,1541,1541,1541.08,94217
Meyar Sanat-a,20180307,1541.08,1541,1541,1541.08,31196
Meyar Sanat-a,20180312,1541.08,1541,1541,1541.08,3040
Meyar Sanat-a,20180317,1541.08,1541,1541,1541.08,405071
Meyar Sanat-a,20180319,1541.08,1545,1541,1541.08,93280
Meyar Sanat-a,20180326,1619.55,1620,1509,1532.03,6323
Meyar Sanat-a,20180407,1532.03,1532,1529,1532.03,28776
Meyar Sanat-a,20180409,1532.03,1532,1532,1532.03,1000
Meyar Sanat-a,20180411,1532.03,1532,1532,1532.03,5664
Meyar Sanat-a,20180416,1532.03,1532,1532,1532.03,676
Meyar Sanat-a,20180418,1438.48,1438,1438,1438.48,269343
Meyar Sanat-a,20180423,1438.48,1438,1438,1438.48,7118
Meyar Sanat-a,20180425,1438.48,1438,1438,1438.48,10000
Meyar Sanat-a,20180428,1438.48,1438,1438,1438.48,7950
Meyar Sanat-a,20180509,1498.83,1499,1499,1498.83,5800
Meyar Sanat-a,20180516,1468.66,1469,1468,1468.66,1249701
Meyar Sanat-a,20180519,1464.63,1465,1465,1464.63,23000
Meyar Sanat-a,20180521,1507.89,1508,1406,1452.56,87071
Meyar Sanat-a,20180526,1347.94,1348,1348,1347.94,142120
Meyar Sanat-a,20180528,1358.00,1358,1358,1358.00,45570
Meyar Sanat-a,20180602,1358.00,1358,1358,1358.00,137109
Meyar Sanat-a,20180609,1358.00,1358,1348,1351.97,62263
Meyar Sanat-a,20180611,1351.97,1363,1352,1357.00,91445
Meyar Sanat-a,20180618,1408.30,1408,1408,1408.30,21708
Meyar Sanat-a,20180620,1368.06,1418,1368,1375.10,280572
Meyar Sanat-a,20180623,1436.47,1437,1436,1436.47,294791
Meyar Sanat-a,20180625,1436.47,1436,1436,1436.47,1620
Meyar Sanat-a,20180627,1513.92,1514,1459,1508.89,324079
Meyar Sanat-a,20180630,1579.31,1579,1579,1579.31,208711
Meyar Sanat-a,20180702,1579.31,1579,1579,1579.31,17840
Meyar Sanat-a,20180718,1508.89,1509,1459,1506.88,24361
Meyar Sanat-a,20180721,1506.88,1507,1507,1506.88,21906
Meyar Sanat-a,20180723,1363.03,1363,1363,1363.03,112400
Meyar Sanat-a,20180725,1363.03,1363,1363,1363.03,482690
Meyar Sanat-a,20180728,1363.03,1363,1363,1363.03,74689
Meyar Sanat-a,20180730,1363.03,1363,1363,1363.03,83006
Meyar Sanat-a,20180801,1364.04,1364,1364,1364.04,100772
Meyar Sanat-a,20180804,1364.04,1364,1364,1364.04,148526
Meyar Sanat-a,20180806,1364.04,1374,1364,1364.04,120504
Meyar Sanat-a,20180808,1364.04,1364,1364,1364.04,18500
Meyar Sanat-a,20180811,1458.60,1690,1459,1496.82,263650
Meyar Sanat-a,20180813,1781.50,1781,1781,1781.50,37051
Meyar Sanat-a,20180815,2414.23,2817,2414,2517.84,676579
Meyar Sanat-a,20180818,3244.12,3913,3244,3598.21,573964
Meyar Sanat-a,20180820,4174.60,4175,4174,4174.60,1033715
Meyar Sanat-a,20180825,4828.46,4828,4777,4820.41,798050
Meyar Sanat-a,20180827,6015.45,6539,6015,6278.00,1074145
Meyar Sanat-a,20190921,18106.72,18107,18107,18106.72,683336
Meyar Sanat-a,20190922,17925.65,18288,17926,18120.80,1124163
Meyar Sanat-a,20190923,18287.78,18653,18288,18301.87,316724
Meyar Sanat-a,20190924,18839.03,18839,18839,18839.03,54071
Meyar Sanat-a,20190925,19027.14,19027,19027,19027.14,97927
Meyar Sanat-a,20190928,19217.26,19217,18837,19183.06,963947
Meyar Sanat-a,20190929,19012.05,19113,18992,18994.95,209435
Meyar Sanat-a,20190930,18805.84,18806,18806,18805.84,41333
Meyar Sanat-a,20191001,18618.73,18619,18619,18618.73,29597
Meyar Sanat-a,20191002,18432.64,18433,18433,18432.64,8068
Meyar Sanat-a,20191005,18248.55,18617,18249,18291.81,842296
Meyar Sanat-a,20191006,18472.87,18474,18110,18168.08,60602
Meyar Sanat-a,20191007,17987.01,18107,17987,18007.13,56299
Meyar Sanat-a,20191008,17827.07,18007,17827,17828.07,247692
Meyar Sanat-a,20191009,17650.03,17650,17650,17650.03,21262
Meyar Sanat-a,20191012,17473.99,17474,17474,17473.99,11802
Meyar Sanat-a,20191013,17299.96,17300,17300,17299.96,59433
Meyar Sanat-a,20191014,17127.95,17128,17128,17127.95,8457
Meyar Sanat-a,20191016,16956.94,16957,16957,16956.94,633
Meyar Sanat-a,20191022,16787.94,16788,16788,16787.94,1122
Meyar Sanat-a,20191023,16620.96,16621,16621,16620.96,5318
Meyar Sanat-a,20191026,16289.00,16289,16289,16289.00,2720
Meyar Sanat-a,20191030,16127.05,16127,16127,16127.05,11422
Meyar Sanat-a,20191102,15966.10,15966,15966,15966.10,8046
Meyar Sanat-a,20191103,15647.22,15647,15647,15647.22,4682
Meyar Sanat-a,20191104,15491.30,15491,15491,15491.30,13656
Meyar Sanat-a,20191105,15336.39,15336,15336,15336.39,25005
Meyar Sanat-a,20191109,15183.49,15183,15183,15183.49,3658
Meyar Sanat-a,20191110,14880.70,15486,14881,15137.22,470101
Meyar Sanat-a,20191111,15288.10,15288,15288,15288.10,63770
Meyar Sanat-a,20191112,15440.00,15440,15136,15429.94,355490
Meyar Sanat-a,20191113,15583.85,15584,15276,15529.53,39892
Meyar Sanat-a,20191116,15839.35,15839,15839,15839.35,791
Meyar Sanat-a,20191117,15997.28,15997,15681,15963.08,82069
Meyar Sanat-a,20191118,16122.02,16122,16122,16122.02,13991
Meyar Sanat-a,20191119,16123.03,16283,16123,16262.85,8115
Meyar Sanat-a,20191120,16587.76,16588,16588,16587.76,13472
Meyar Sanat-a,20191123,16752.74,16753,16753,16752.74,30728
Meyar Sanat-a,20191124,16919.72,16920,16920,16919.72,4900
Meyar Sanat-a,20191125,17088.72,17089,17089,17088.72,1895
Meyar Sanat-a,20191126,17429.73,17430,17101,17424.70,119504
Meyar Sanat-a,20191127,17598.72,17599,17599,17598.72,103880
Meyar Sanat-a,20191130,17773.75,17774,17424,17730.50,32952
Meyar Sanat-a,20191201,17553.46,17881,17553,17602.75,51030
Meyar Sanat-a,20191202,17427.71,17753,17428,17514.22,42683
Meyar Sanat-a,20191203,17339.19,17687,17339,17404.58,65583
Meyar Sanat-a,20191204,17230.55,17574,17231,17363.34,58671
Meyar Sanat-a,20191207,17536.36,17536,17190,17473.99,88168
Meyar Sanat-a,20191208,17647.01,17648,17300,17561.50,101970
Meyar Sanat-a,20191209,17736.54,17737,17386,17697.30,131049
Meyar Sanat-a,20191210,17873.34,17873,17873,17873.34,42287
Meyar Sanat-a,20191211,18051.39,18051,18051,18051.39,39567
Meyar Sanat-a,20191214,18231.45,18231,18231,18231.45,134725
Meyar Sanat-a,20191215,18413.53,18414,18414,18413.53,34845
Meyar Sanat-a,20191216,18597.61,18598,18598,18597.61,11139
Meyar Sanat-a,20191217,18782.70,18783,18783,18782.70,27529
Meyar Sanat-a,20191218,19157.91,19158,19158,19157.91,3686
Meyar Sanat-a,20191221,19349.04,19349,19349,19349.04,1053
Meyar Sanat-a,20191222,19542.18,19542,19542,19542.18,5805
Meyar Sanat-a,20191223,19737.33,19737,19737,19737.33,19581
Meyar Sanat-a,20191224,20131.65,20132,20132,20131.65,4159
Meyar Sanat-a,20191225,20332.84,20333,20333,20332.84,9930
Meyar Sanat-a,20191229,20536.03,20536,20535,20536.03,7780
Meyar Sanat-a,20191231,20741.24,20741,20622,20738.23,135828
Meyar Sanat-a,20200101,20945.45,20945,20945,20945.45,8627
Meyar Sanat-a,20200104,21363.91,21364,21364,21363.91,81045
